date,live_cattle,feeder_cattle,lean_hogs
2023-08-08,179.6999969482422,246.0,102.0999984741211
2023-08-09,180.5749969482422,247.14999389648438,101.6500015258789
2023-08-10,181.10000610351562,248.0,101.7249984741211
2023-08-11,180.375,247.75,102.0999984741211
2023-08-14,179.75,246.22500610351562,102.25
2023-08-15,179.10000610351562,245.875,78.19999694824219
2023-08-16,178.77499389648438,245.375,78.17500305175781
2023-08-17,178.0500030517578,244.27499389648438,79.1500015258789
2023-08-18,178.52499389648438,245.5749969482422,82.125
2023-08-21,178.97500610351562,246.77499389648438,80.625
2023-08-22,177.9499969482422,245.5,79.57499694824219
2023-08-23,178.0500030517578,245.02499389648438,78.55000305175781
2023-08-24,179.85000610351562,246.5,80.4749984741211
2023-08-25,180.6750030517578,247.625,79.82499694824219
2023-08-28,180.6999969482422,250.25,81.8499984741211
2023-08-29,181.0,250.6999969482422,80.7249984741211
2023-08-30,178.8000030517578,250.0500030517578,83.5999984741211
2023-08-31,179.72500610351562,249.10000610351562,82.55000305175781
2023-09-01,180.14999389648438,251.85000610351562,83.05000305175781
2023-09-05,179.9499969482422,251.375,83.17500305175781
2023-09-06,182.6999969482422,253.14999389648438,81.875
2023-09-07,183.64999389648438,255.5749969482422,82.82499694824219
2023-09-08,183.22500610351562,255.35000610351562,81.5250015258789
2023-09-11,184.22500610351562,256.2250061035156,82.55000305175781
2023-09-12,184.14999389648438,255.3249969482422,85.2750015258789
2023-09-13,183.14999389648438,253.5,83.9749984741211
2023-09-14,185.47500610351562,255.1750030517578,83.3499984741211
2023-09-15,186.9250030517578,257.375,83.125
2023-09-18,186.3249969482422,254.25,83.25
2023-09-19,185.6750030517578,253.5,84.8499984741211
2023-09-20,186.77499389648438,254.1750030517578,85.7750015258789
2023-09-21,184.97500610351562,253.27499389648438,82.94999694824219
2023-09-22,187.0749969482422,254.10000610351562,81.5250015258789
2023-09-25,186.97500610351562,253.875,81.5250015258789
2023-09-26,184.8000030517578,252.60000610351562,81.625
2023-09-27,184.89999389648438,251.52499389648438,82.125
2023-09-28,186.5,252.3249969482422,83.94999694824219
2023-09-29,184.1999969482422,252.47500610351562,80.19999694824219
2023-10-02,184.4250030517578,253.3249969482422,79.8499984741211
2023-10-03,182.125,248.60000610351562,79.9749984741211
2023-10-04,182.1999969482422,247.77499389648438,79.92500305175781
2023-10-05,181.9499969482422,247.5,80.9000015258789
2023-10-06,183.0749969482422,248.375,82.32499694824219
2023-10-09,182.375,246.89999389648438,81.9749984741211
2023-10-10,182.5749969482422,247.9499969482422,81.94999694824219
2023-10-11,184.5,250.1750030517578,82.1500015258789
2023-10-12,185.39999389648438,252.02499389648438,82.0999984741211
2023-10-13,185.125,249.875,81.92500305175781
2023-10-16,185.1999969482422,248.3249969482422,68.30000305175781
2023-10-17,185.5,248.8000030517578,67.55000305175781
2023-10-18,185.72500610351562,247.125,68.0250015258789
2023-10-19,184.39999389648438,243.5749969482422,68.0
2023-10-20,184.27499389648438,241.8249969482422,66.0
2023-10-23,178.25,237.625,66.17500305175781
2023-10-24,180.0,239.4250030517578,66.375
2023-10-25,181.125,239.97500610351562,67.5
2023-10-26,181.6999969482422,240.5500030517578,68.625
2023-10-27,184.0,236.89999389648438,70.4749984741211
2023-10-30,184.125,237.6750030517578,71.17500305175781
2023-10-31,183.75,237.6999969482422,71.7249984741211
2023-11-01,183.625,238.5749969482422,70.1500015258789
2023-11-02,184.6750030517578,242.625,73.2750015258789
2023-11-03,183.875,240.60000610351562,71.75
2023-11-06,181.3249969482422,237.1750030517578,72.4000015258789
2023-11-07,178.77499389648438,232.22500610351562,72.9000015258789
2023-11-08,179.39999389648438,234.5500030517578,71.5
2023-11-09,174.35000610351562,229.0,71.44999694824219
2023-11-10,174.1750030517578,229.72500610351562,71.9000015258789
2023-11-13,174.9250030517578,230.72500610351562,73.3499984741211
2023-11-14,175.85000610351562,230.0500030517578,72.30000305175781
2023-11-15,177.77499389648438,229.4250030517578,71.05000305175781
2023-11-16,174.75,229.375,71.4749984741211
2023-11-17,175.75,228.5,70.9749984741211
2023-11-20,175.47500610351562,229.85000610351562,70.3499984741211
2023-11-21,175.0,228.3249969482422,68.17500305175781
2023-11-22,174.47500610351562,227.125,68.2750015258789
2023-11-24,170.25,219.3249969482422,67.57499694824219
2023-11-27,168.77499389648438,212.8000030517578,67.875
2023-11-28,171.64999389648438,221.0500030517578,68.92500305175781
2023-11-29,171.89999389648438,222.1999969482422,68.9749984741211
2023-11-30,170.875,219.9499969482422,68.7750015258789
2023-12-01,169.27499389648438,214.4250030517578,68.5999984741211
2023-12-04,167.25,210.52499389648438,68.05000305175781
2023-12-05,168.5,214.6999969482422,66.82499694824219
2023-12-06,163.4499969482422,210.14999389648438,67.55000305175781
2023-12-07,162.35000610351562,210.27499389648438,67.55000305175781
2023-12-08,165.4499969482422,215.3000030517578,68.42500305175781
2023-12-11,166.97500610351562,217.9499969482422,68.25
2023-12-12,167.6999969482422,219.25,67.82499694824219
2023-12-13,166.9499969482422,217.375,67.92500305175781
2023-12-14,167.5,219.35000610351562,67.17500305175781
2023-12-15,168.22500610351562,220.89999389648438,71.9000015258789
2023-12-18,168.8249969482422,223.1750030517578,71.57499694824219
2023-12-19,168.4499969482422,221.89999389648438,70.55000305175781
2023-12-20,170.02499389648438,224.0500030517578,70.2249984741211
2023-12-21,170.5500030517578,221.6999969482422,70.6500015258789
2023-12-22,170.0500030517578,222.75,71.3499984741211
2023-12-26,170.5749969482422,223.5500030517578,69.30000305175781
2023-12-27,170.72500610351562,224.47500610351562,69.875
2023-12-28,171.1999969482422,222.47500610351562,68.44999694824219
2023-12-29,173.6750030517578,222.3000030517578,67.9749984741211
2024-01-02,171.9250030517578,225.4250030517578,65.32499694824219
2024-01-03,171.85000610351562,226.0749969482422,65.30000305175781
2024-01-04,171.125,224.6750030517578,69.05000305175781
2024-01-05,170.5749969482422,223.125,70.0
2024-01-08,169.9499969482422,223.875,70.5999984741211
2024-01-09,170.77499389648438,223.77499389648438,71.875
2024-01-10,170.75,224.625,72.07499694824219
2024-01-11,171.8000030517578,226.27499389648438,72.5999984741211
2024-01-12,171.375,226.5749969482422,71.9000015258789
2024-01-16,173.125,227.5500030517578,70.7750015258789
2024-01-17,173.10000610351562,228.4250030517578,71.44999694824219
2024-01-18,174.8249969482422,230.9250030517578,71.0999984741211
2024-01-19,174.375,230.10000610351562,70.75
2024-01-22,173.77499389648438,229.8249969482422,70.92500305175781
2024-01-23,174.64999389648438,231.0,73.30000305175781
2024-01-24,175.35000610351562,231.8249969482422,73.9000015258789
2024-01-25,177.72500610351562,232.02499389648438,74.30000305175781
2024-01-26,178.4499969482422,239.6999969482422,74.92500305175781
2024-01-29,177.375,238.625,75.2750015258789
2024-01-30,178.02499389648438,241.3249969482422,75.8499984741211
2024-01-31,177.35000610351562,240.14999389648438,76.3499984741211
2024-02-01,179.75,244.875,75.80000305175781
2024-02-02,180.5500030517578,244.8000030517578,75.44999694824219
2024-02-05,179.72500610351562,242.75,74.4000015258789
2024-02-06,183.0,246.6750030517578,73.4749984741211
2024-02-07,182.22500610351562,245.5500030517578,73.375
2024-02-08,183.77499389648438,246.85000610351562,73.30000305175781
2024-02-09,184.625,247.14999389648438,73.67500305175781
2024-02-12,184.25,248.8249969482422,73.57499694824219
2024-02-13,183.75,248.0,74.2249984741211
2024-02-14,182.39999389648438,246.22500610351562,75.17500305175781
2024-02-15,183.39999389648438,247.10000610351562,85.0
2024-02-16,184.77499389648438,251.02499389648438,85.2249984741211
2024-02-20,184.39999389648438,251.375,85.67500305175781
2024-02-21,183.97500610351562,251.35000610351562,85.9749984741211
2024-02-22,183.5,252.0500030517578,87.19999694824219
2024-02-23,185.60000610351562,254.5749969482422,87.19999694824219
2024-02-26,185.72500610351562,253.0500030517578,86.2750015258789
2024-02-27,185.60000610351562,253.0,85.9000015258789
2024-02-28,184.64999389648438,249.60000610351562,86.0
2024-02-29,184.0,249.0,86.625
2024-03-01,188.4499969482422,252.97500610351562,88.07499694824219
2024-03-04,186.6750030517578,251.5500030517578,86.2750015258789
2024-03-05,188.0,252.3000030517578,85.17500305175781
2024-03-06,187.25,251.02499389648438,85.0
2024-03-07,188.72500610351562,251.02499389648438,84.5250015258789
2024-03-08,187.60000610351562,249.1999969482422,84.375
2024-03-11,187.60000610351562,248.25,83.2750015258789
2024-03-12,188.25,248.97500610351562,85.3499984741211
2024-03-13,189.9250030517578,250.27499389648438,84.875
2024-03-14,186.9499969482422,247.47500610351562,85.0250015258789
2024-03-15,187.25,249.27499389648438,86.92500305175781
2024-03-18,188.5749969482422,251.1999969482422,86.82499694824219
2024-03-19,188.0500030517578,250.6750030517578,85.82499694824219
2024-03-20,187.8000030517578,250.25,85.30000305175781
2024-03-21,188.375,250.875,84.9000015258789
2024-03-22,187.5,249.9499969482422,84.57499694824219
2024-03-25,186.1999969482422,249.4499969482422,85.1500015258789
2024-03-26,183.10000610351562,247.72500610351562,85.57499694824219
2024-03-27,183.60000610351562,248.0500030517578,86.0999984741211
2024-03-28,185.0,247.75,86.625
2024-04-01,180.0749969482422,240.4250030517578,86.94999694824219
2024-04-02,181.77499389648438,243.5,86.55000305175781
2024-04-03,180.9250030517578,240.9499969482422,87.9749984741211
2024-04-04,181.47500610351562,242.6999969482422,88.3499984741211
2024-04-05,178.25,237.6999969482422,89.32499694824219
2024-04-08,179.39999389648438,239.3000030517578,89.75
2024-04-09,180.6999969482422,240.6999969482422,90.5999984741211
2024-04-10,179.0749969482422,238.27499389648438,91.75
2024-04-11,180.25,239.1750030517578,91.44999694824219
2024-04-12,178.89999389648438,237.60000610351562,90.875
2024-04-15,180.3000030517578,239.5500030517578,94.32499694824219
